datum,ka_ruhleben
2014-10-04,167.89
2014-10-05,182.69
2014-10-06,188.74
2014-10-07,197.26
2014-10-08,270.5
2014-10-09,223.937
2014-10-10,213.911
2014-10-11,328.337
2014-10-12,227.832
2014-10-13,211.408
2014-10-14,199.112
2014-10-15,196.539
2014-10-16,221.859
2014-10-17,196.011
2014-10-18,189.532
2014-10-19,192.224
2014-10-20,195.288
2014-10-21,217.034
2014-10-22,364.748
2014-10-23,211.751
2014-10-24,193.86
2014-10-25,183.429
2014-10-26,198.931
2014-10-27,198.306
2014-10-28,201.897
2014-10-29,194.95
2014-10-30,196.6
2014-10-31,192.978
2014-11-01,187.299
2014-11-02,190.616
2014-11-03,192.498
2014-11-04,193.639
2014-11-05,202.558
2014-11-06,197.141
2014-11-07,202.391
2014-11-08,197.904
2014-11-09,208.553
2014-11-10,196.901
2014-11-11,195.482
2014-11-12,203.264
2014-11-13,199.86
2014-11-14,205.222
2014-11-15,193.361
2014-11-16,196.338
2014-11-17,205.734
2014-11-18,197.973
2014-11-19,234.994
2014-11-20,200.447
2014-11-21,223.786
2014-11-22,222.241
2014-11-23,217.897
2014-11-24,271.463
2014-11-25,226.065
2014-11-26,219.598
2014-11-27,224.765
2014-11-28,221.682
2014-11-29,214.443
2014-11-30,218.687
2014-12-01,217.89
2014-12-02,215.29
2014-12-03,221.788
2014-12-04,222.498
2014-12-05,249.659
2014-12-06,220.042
2014-12-07,224.266
2014-12-08,264.307
2014-12-09,217.437
2014-12-10,255.709
2014-12-11,261.742
2014-12-12,279.371
2014-12-13,256.853
2014-12-14,219.53
2014-12-15,222.829
2014-12-16,198.603
2014-12-17,227.108
2014-12-18,255.076
2014-12-19,318.359
2014-12-20,315.482
2014-12-21,226.733
2014-12-22,250.443
2014-12-23,319.953
2014-12-24,280.196
2014-12-25,193.805
2014-12-26,186.609
2014-12-27,174.584
2014-12-28,167.36
2014-12-29,186.401
2014-12-30,197.682
2014-12-31,311.421
2015-01-01,195.682
2015-01-02,223.01
2015-01-03,201.313
2015-01-04,222.698
2015-01-05,260.983
2015-01-06,215.412
2015-01-07,213.577
2015-01-08,290.088
2015-01-09,431.916
2015-01-10,369.37
2015-01-11,256.344
2015-01-12,338.118
2015-01-13,218.067
2015-01-14,278.576
2015-01-15,274.651
2015-01-16,223.266
2015-01-17,302.495
2015-01-18,216.837
2015-01-19,222.159
2015-01-20,265.263
2015-01-21,218.12
2015-01-22,205.659
2015-01-23,211.135
2015-01-24,199.389
2015-01-25,199.149
2015-01-26,251.15
2015-01-27,314.58
2015-01-28,262.84
2015-01-29,317.06
2015-01-30,319.87
2015-01-31,283.35
2015-02-01,262.81
2015-02-02,211.64
2015-02-03,240.083
2015-02-04,214.27
2015-02-05,214.04
2015-02-06,213.093
2015-02-07,207.12
2015-02-08,226.85
2015-02-09,254.4
2015-02-10,213.929
2015-02-11,215.596
2015-02-12,214.821
2015-02-13,225.193
2015-02-14,225.711
2015-02-15,223.666
2015-02-16,231.8
2015-02-17,236.24
2015-02-18,240.24
2015-02-19,233.88
2015-02-20,242.899
2015-02-21,242.33
2015-02-22,234.55
2015-02-23,279.38
2015-02-24,232.85
2015-02-25,227.34
2015-02-26,223.88
2015-02-27,222.367
2015-02-28,219.491
2015-03-01,276.43
2015-03-02,268.58
2015-03-03,310.07
2015-03-04,296.86
2015-03-05,258.03
2015-03-06,221.61
2015-03-07,215.1
2015-03-08,212.01
2015-03-09,232.81
2015-03-10,233.29
2015-03-11,222.278
2015-03-12,227.377
2015-03-13,239.35
2015-03-14,226.91
2015-03-15,235.72
2015-03-16,233.79
2015-03-17,214.597
2015-03-18,232.81
2015-03-19,235.952
2015-03-20,230.525
2015-03-21,271.255
2015-03-22,254.821
2015-03-23,230.024
2015-03-24,232.233
2015-03-25,238.859
2015-03-26,238.628
2015-03-27,261.425
2015-03-28,233.61
2015-03-29,271.256
2015-03-30,313.404
2015-03-31,255.949
2015-04-01,9.089
2015-04-02,23.496
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,3.94
2015-04-08,6.29
2015-04-09,5.17
2015-04-10,6.03
2015-04-11,4.5
2015-04-12,0
2015-04-13,1.42
2015-04-14,4.85
2015-04-15,2.44
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0.117
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,40.393
2015-04-28,21.24
2015-04-29,0
2015-04-30,25.67
2015-05-01,35.679
2015-05-02,0
2015-05-03,0.057
2015-05-04,56.077
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,1.97
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,21.808
2015-05-13,0.161
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,1.54
2015-05-19,2.2
2015-05-20,1.22
2015-05-21,1.88
2015-05-22,1.16
2015-05-23,0
2015-05-24,0
2015-05-25,2.31
2015-05-26,1.09
2015-05-27,1.25
2015-05-28,3.85
2015-05-29,3.89
2015-05-30,10.4
2015-05-31,2.46
2015-06-01,25.932
2015-06-02,2.95
2015-06-03,4.89
2015-06-04,4.47
2015-06-05,5.87
2015-06-06,7.5
2015-06-07,0
2015-06-08,0
2015-06-09,5.79
2015-06-10,6.43
2015-06-11,11.05
2015-06-12,0
2015-06-13,76.277
2015-06-14,15.066
2015-06-15,0
2015-06-16,0.47
2015-06-17,0
2015-06-18,0.72
2015-06-19,0.222
2015-06-20,1.71
2015-06-21,0.416
2015-06-22,30.998
2015-06-23,99.708
2015-06-24,6.26
2015-06-25,0
2015-06-26,16.244
2015-06-27,37.752
2015-06-28,0
2015-06-29,0
2015-06-30,3.22
2015-07-01,3.47
2015-07-02,3.36
2015-07-03,4.48
2015-07-04,3.9
2015-07-05,5.61
2015-07-06,66.422
2015-07-07,12.153
2015-07-08,15.717
2015-07-09,39.584
2015-07-10,2.83
2015-07-11,0
2015-07-12,0
2015-07-13,56.581
2015-07-14,120.805
2015-07-15,3.46
2015-07-16,1.38
2015-07-17,3.47
2015-07-18,0
2015-07-19,86.834
2015-07-20,3.08
2015-07-21,13.876
2015-07-22,2.03
2015-07-23,97.868
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,16.478
2015-07-28,0
2015-07-29,4.82
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,6.3
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,2.89
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,32.647
2015-08-17,17.063
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,17.446
2015-08-25,80.667
2015-08-26,4.89
2015-08-27,0
2015-08-28,103.809
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,37.169
2015-09-02,0.568
2015-09-03,0
2015-09-04,0
2015-09-05,0.614
2015-09-06,65.413
2015-09-07,0
2015-09-08,0
2015-09-09,7.48
2015-09-10,47.805
2015-09-11,22.106
2015-09-12,6.28
2015-09-13,2.85
2015-09-14,55.146
2015-09-15,0
2015-09-16,7.661
2015-09-17,25.09
2015-09-18,11.226
2015-09-19,2.64
2015-09-20,7.14
2015-09-21,0
2015-09-22,2.22
2015-09-23,8.06
2015-09-24,9.09
2015-09-25,8.3
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,189.195
2015-10-02,202.47
2015-10-03,187.39
2015-10-04,188.3
2015-10-05,184.885
2015-10-06,199.68
2015-10-07,218.92
2015-10-08,482.3
2015-10-09,253.76
2015-10-10,200.82
2015-10-11,208.43
2015-10-12,205.18
2015-10-13,200.79
2015-10-14,319.801
2015-10-15,313.1
2015-10-16,416.4
2015-10-17,340.3
2015-10-18,211.72
2015-10-19,287.6
2015-10-20,236.05
2015-10-21,207.556
2015-10-22,202.64
2015-10-23,203.21
2015-10-24,180.95
2015-10-25,185.23
2015-10-26,190.35
2015-10-27,190.49
2015-10-28,201.35
2015-10-29,202.67
2015-10-30,201.59
2015-10-31,203.96
2015-11-01,230.26
2015-11-02,220.4
2015-11-03,218.97
2015-11-04,211.772
2015-11-05,224.55
2015-11-06,233.85
2015-11-07,277.8
2015-11-08,234.04
2015-11-09,253.83
2015-11-10,235.48
2015-11-11,228.604
2015-11-12,229.94
2015-11-13,252.62
2015-11-14,251.4
2015-11-15,426.9
2015-11-16,430.1
2015-11-17,298
2015-11-18,325.7
2015-11-19,266.4
2015-11-20,245.73
