datum;ka_essenkupferdreh
2015-02-24;50173.2
2015-02-25;43747.2
2015-02-26;33163.2
2015-02-27;52408.8
2015-02-28;43027.2
2015-03-01;44920.8
2015-03-02;41414.4
2015-03-03;41364
2015-03-04;34034.4
2015-03-05;24087.6
2015-03-06;22528.8
2015-03-07;22636.8
2015-03-08;22255.2
2015-03-09;19170
2015-03-10;15836.4
2015-03-11;14662.8
2015-03-12;17748
2015-03-13;17208
2015-03-14;16437.6
2015-03-15;15552
2015-03-16;14468.4
2015-03-17;13582.8
2015-03-18;13251.6
2015-03-19;12942
2015-03-20;13395.6
2015-03-21;29494.8
2015-03-22;11044.8
2015-03-23;6688.8
2015-03-24;10562.4
2015-03-25;10580.4
2015-03-26;12114
2015-03-27;10454.4
2015-03-28;12132
2015-03-29;37256.4
2015-03-30;37432.8
2015-03-31;49834.8
2015-04-01;40942.8
2015-04-02;45370.8
2015-04-03;30877.2
2015-04-04;24278.4
2015-04-05;14288.4
2015-04-06;12301.2
2015-04-07;26748.72
2015-04-08;19725.12
2015-04-09;26694.36
2015-04-10;15089.04
2015-04-11;11803.32
2015-04-12;14004
2015-04-13;20044.8
2015-04-14;19727.64
2015-04-15;15954.48
2015-04-16;18072
2015-04-17;16983.72
2015-04-18;23731.92
2015-04-19;19087.92
2015-04-20;19981.44
2015-04-21;17075.16
2015-04-22;38090.52
2015-04-23;22778.28
2015-04-24;49331.16
2015-04-25;38481.48
2015-04-26;25448.4
2015-04-27;33477.48
2015-04-28;33928.56
2015-04-29;21832.92
2015-04-30;23781.24
2015-05-01;14095.08
2015-05-02;49357.44
2015-05-03;26569.44
2015-05-04;39153.24
2015-05-05;36897.48
2015-05-06;25185.96
2015-05-07;44688.6
2015-05-08;18312.48
2015-05-09;18914.4
2015-05-10;21324.24
2015-05-11;15797.16
2015-05-12;8173.8
2015-05-13;15740.64
2015-05-14;9384.48
2015-05-15;10168.56
2015-05-16;16336.44
2015-05-17;8720.28
2015-05-18;12525.12
2015-05-19;17903.52
2015-05-20;14977.44
2015-05-21;24498.72
2015-05-22;14824.08
2015-05-23;10161.72
2015-05-24;8372.52
2015-05-25;14088.6
2015-05-26;6839.28
2015-05-27;16487.28
2015-05-28;26661.6
2015-05-29;15774.48
2015-05-30;34379.28
2015-05-31;30677.4
2015-06-01;23421.24
2015-06-02;16765.56
2015-06-03;12835.08
2015-06-04;10285.92
2015-06-05;15471.72
2015-06-06;19417.32
2015-06-07;12166.56
2015-06-08;15098.04
2015-06-09;7461.72
2015-06-10;8620.2
2015-06-11;11892.96
2015-06-12;15209.28
2015-06-13;10014.48
2015-06-14;5389.56
2015-06-15;14114.16
2015-06-16;17968.32
2015-06-17;19176.48
2015-06-18;27006.48
2015-06-19;19904.76
2015-06-20;15303.24
2015-06-21;10595.88
2015-06-22;35008.92
2015-06-23;57481.2
2015-06-24;23349.6
