Name;Datum;Tagessumme;Vollständigkeit(%)
Aakgraben;2017-03-11;0.00;100
Aakgraben;2017-03-12;0.00;100
Aakgraben;2017-03-13;0.00;100
Aakgraben;2017-03-14;0.00;100
Aakgraben;2017-03-15;0.00;100
Aakgraben;2017-03-16;0.00;100
Aakgraben;2017-03-17;2.41;100
Aakgraben;2017-03-18;12.65;100
Aakgraben;2017-03-19;0.22;100
Aakgraben;2017-03-20;0.31;100
Aakgraben;2017-03-21;0.83;100
Aakgraben;2017-03-22;0.00;100
Aakgraben;2017-03-23;0.00;100
Aakgraben;2017-03-24;0.00;100
Aakgraben;2017-03-25;0.00;100
Aakgraben;2017-03-26;0.00;100
Aakgraben;2017-03-27;0.00;100
Aakgraben;2017-03-28;0.00;100
Aakgraben;2017-03-29;0.00;100
Aakgraben;2017-03-30;0.00;100
Aakgraben;2017-03-31;0.00;100
Aakgraben;2017-04-01;2.59;100
Aakgraben;2017-04-02;0.00;100
Aakgraben;2017-04-03;0.00;100
Aakgraben;2017-04-04;0.00;100
Aakgraben;2017-04-05;0.06;100
Aakgraben;2017-04-06;0.00;100
Aakgraben;2017-04-07;0.00;100
Aakgraben;2017-04-08;0.00;100
Aakgraben;2017-04-09;0.00;100
Aakgraben;2017-04-10;0.00;100
Aakgraben;2017-04-11;0.00;100
Aakgraben;2017-04-12;2.98;100
Aakgraben;2017-04-13;0.00;100
Aakgraben;2017-04-14;0.13;100
Aakgraben;2017-04-15;1.33;100
Aakgraben;2017-04-16;7.61;100
Aakgraben;2017-04-17;2.14;100
Aakgraben;2017-04-18;0.37;100
Aakgraben;2017-04-19;0.00;100
Aakgraben;2017-04-20;0.00;100
Aakgraben;2017-04-21;2.19;100
Aakgraben;2017-04-22;0.00;100
Aakgraben;2017-04-23;0.03;100
Aakgraben;2017-04-24;2.56;100
Aakgraben;2017-04-25;0.99;100
Aakgraben;2017-04-26;0.00;100
Aakgraben;2017-04-27;0.00;100
Aakgraben;2017-04-28;0.57;100
Aakgraben;2017-04-29;0.00;100
Aakgraben;2017-04-30;0.00;100
Aakgraben;2017-05-01;4.02;100
Aakgraben;2017-05-02;7.30;100
Aakgraben;2017-05-03;2.63;100
Aakgraben;2017-05-04;0.30;100
Aakgraben;2017-05-05;0.00;100
Aakgraben;2017-05-06;0.00;100
Aakgraben;2017-05-07;0.00;100
Aakgraben;2017-05-08;0.22;100
Aakgraben;2017-05-09;0.00;100
Aakgraben;2017-05-10;0.00;100
Aakgraben;2017-05-11;0.65;100
Aakgraben;2017-05-12;19.38;100
Aakgraben;2017-05-13;7.73;100
Aakgraben;2017-05-14;0.87;100
Aakgraben;2017-05-15;0.00;100
Aakgraben;2017-05-16;0.00;100
Aakgraben;2017-05-17;0.00;100
Aakgraben;2017-05-18;3.66;100
Aakgraben;2017-05-19;20.66;100
Aakgraben;2017-05-20;0.00;100
Aakgraben;2017-05-21;0.00;100
Aakgraben;2017-05-22;0.00;100
Aakgraben;2017-05-23;0.00;100
Aakgraben;2017-05-24;0.00;100
Aakgraben;2017-05-25;0.00;100
Aakgraben;2017-05-26;0.00;100
Aakgraben;2017-05-27;0.00;100
Aakgraben;2017-05-28;6.65;100
Aakgraben;2017-05-29;0.00;100
Aakgraben;2017-05-30;2.61;100
Aakgraben;2017-05-31;0.00;100
Aakgraben;2017-06-01;0.00;100
Aakgraben;2017-06-02;1.24;100
Aakgraben;2017-06-03;6.35;100
Aakgraben;2017-06-04;1.77;100
